code,name
agro_forestry,Agro-forestry Nurseries
composting,Composting
contours,Contours
cover_cropping,Cover Cropping
crop_residue,Maintenance of Crop Residue
crop_rotation,Crop Rotation
fertilizer_tree,Use of Fertilizer Tree/Crop
grass_strips,Grass Strips / Buffer Zones
icls,Integrated Crop-Livestock Systems
improved_fallow,Improved Fallow
intercropping,Intercropping
ipm,Integrated Pest Management
mulching,Mulching
no_till,No Till
planting_basins,Planting Basins
ripping,Ripping
terraces,Terraces
water_harvesting,Water Harvesting
